2theta/Degree,Intensity_GFO(Ga/Fe=1),Normalised_XRD_different ratio,Ga/Fe=1,Normalised_XRD_different ratio,Ga/Fe=0.5
20,86.06418,20,6.26E-04,20,0.01343
20.01968,96.05973,20.01968,6.99E-04,20.01968,0.00924
20.03936,108.07215,20.03936,7.87E-04,20.03936,0.01144
20.05904,122.78125,20.05904,8.94E-04,20.05904,0.00909
20.07872,141.1535,20.07872,0.00103,20.07872,0.00612
20.0984,164.50312,20.0984,0.0012,20.0984,0.01085
20.11808,194.49239,20.11808,0.00142,20.11808,0.00873
20.13776,233.03232,20.13776,0.0017,20.13776,0.01075
20.15744,282.11963,20.15744,0.00205,20.15744,0.01121
20.17712,343.82437,20.17712,0.0025,20.17712,0.01004
20.1968,420.84901,20.1968,0.00306,20.1968,0.01319
20.21648,518.11606,20.21648,0.00377,20.21648,0.01671
20.23616,645.91466,20.23616,0.0047,20.23616,0.01392
20.25584,826.05395,20.25584,0.00601,20.25584,0.01844
20.27552,1101.59871,20.27552,0.00802,20.27552,0.02314
20.2952,1533.67912,20.2952,0.01116,20.2952,0.02428
20.31488,2119.34457,20.31488,0.01543,20.31488,0.02089
20.33455,2629.68631,20.33455,0.01914,20.33455,0.02004
20.35423,2813.64446,20.35423,0.02048,20.35423,0.01565
20.37391,2775.38424,20.37391,0.0202,20.37391,0.01935
20.39359,2651.62624,20.39359,0.0193,20.39359,0.01492
20.41327,2511.37086,20.41327,0.01828,20.41327,0.01682
20.43295,2374.06457,20.43295,0.01728,20.43295,0.01452
20.45263,2136.69951,20.45263,0.01555,20.45263,0.01012
20.47231,1829.10054,20.47231,0.01331,20.47231,0.00795
20.49199,1501.58349,20.49199,0.01093,20.49199,0.00982
20.51167,1149.29564,20.51167,0.00837,20.51167,0.00375
20.53135,831.03321,20.53135,0.00605,20.53135,0.00676
20.55103,591.89115,20.55103,0.00431,20.55103,0.00694
20.57071,430.02137,20.57071,0.00313,20.57071,0.00587
20.59039,325.53788,20.59039,0.00237,20.59039,0.00525
20.61007,258.34161,20.61007,0.00188,20.61007,0.0054
20.62975,213.6093,20.62975,0.00155,20.62975,0.00393
20.64943,181.97545,20.64943,0.00132,20.64943,0.00628
20.66911,158.03703,20.66911,0.00115,20.66911,0.00238
20.68879,138.85486,20.68879,0.00101,20.68879,0.00906
20.70847,122.889,20.70847,8.94E-04,20.70847,0.00521
20.72815,109.33011,20.72815,7.96E-04,20.72815,0.00191
20.74783,97.71551,20.74783,7.11E-04,20.74783,0.00153
20.76751,87.73283,20.76751,6.39E-04,20.76751,0.00661
20.78719,79.1343,20.78719,5.76E-04,20.78719,0.00963
20.80687,71.70714,20.80687,5.22E-04,20.80687,0.00566
20.82655,65.26649,20.82655,4.75E-04,20.82655,0.00615
20.84623,59.65439,20.84623,4.34E-04,20.84623,0
20.86591,54.73855,20.86591,3.98E-04,20.86591,0.00401
20.88559,50.40967,20.88559,3.67E-04,20.88559,0.00437
