location,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Cloud Cover Total,Sunshine Duration,Shortwave Radiation
unit,°C,%,%,min,W/m²
level,2 m elevation corrected,2 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Sunshine Duration,Basel Shortwave Radiation
20220101T0000,6.0602455,94.19782,1.5,0.0,0.0
20220101T0100,5.5602455,94.83262,3.0,0.0,0.0
20220101T0200,4.630245,96.47203,0.3,0.0,0.0
20220101T0300,3.6602454,97.1187,1.2,0.0,0.0
20220101T0400,3.8802452,96.16575,1.0,0.0,0.0
20220101T0500,3.6502452,96.980194,1.0,0.0,0.0
20220101T0600,3.1102452,97.79321,25.0,0.0,0.0
20220101T0700,2.7302456,98.201126,13.500001,0.0,0.0
20220101T0800,2.5102453,98.19411,25.0,0.0,0.0
20220101T0900,2.4402454,97.83999,25.0,31.624998,12.0
20220101T1000,4.2502456,95.36762,25.0,44.04255,94.0
20220101T1100,6.5302453,92.20724,25.0,44.04255,193.0
20220101T1200,8.290245,88.76688,17.7,48.70213,268.0
20220101T1300,10.090245,83.10312,10.5,53.29787,294.0
20220101T1400,11.3102455,79.97462,3.9,57.510635,274.0
20220101T1500,12.100245,77.46256,9.3,54.063828,207.0
20220101T1600,10.530245,84.3071,0.90000004,59.425533,110.0
20220101T1700,7.3002453,93.68196,0.90000004,50.13204,19.0
20220101T1800,5.9902453,95.78908,1.8000001,0.0,0.0
20220101T1900,5.8002453,95.445526,1.2,0.0,0.0
20220101T2000,5.170245,94.87827,2.1000001,0.0,0.0
20220101T2100,4.4902453,95.85379,5.1000004,0.0,0.0
20220101T2200,3.9102454,95.96225,12.0,0.0,0.0
20220101T2300,3.5702453,98.1573,39.0,0.0,0.0
20220102T0000,3.4202452,98.012985,22.0,0.0,0.0
20220102T0100,2.8802452,97.087776,16.5,0.0,0.0
20220102T0200,3.0202456,96.885254,19.0,0.0,0.0
20220102T0300,2.3602452,97.48621,10.5,0.0,0.0
20220102T0400,2.3102455,96.64618,25.500002,0.0,0.0
20220102T0500,2.3802454,96.09441,27.300001,0.0,0.0
20220102T0600,2.4202454,95.54446,30.000002,0.0,0.0
20220102T0700,2.5802455,95.07294,29.7,0.0,0.0
20220102T0800,2.9402456,91.53713,28.800001,0.0,0.0
20220102T0900,3.5602455,88.35643,42.0,23.88865,9.0
20220102T1000,5.0602455,83.72151,60.0,21.702127,67.0
20220102T1100,6.540245,81.80693,27.900002,42.191486,129.0
20220102T1200,8.340245,74.79823,75.0,12.127658,118.0
20220102T1300,9.950245,69.920204,29.1,41.42553,104.0
20220102T1400,11.590245,67.956375,23.7,44.87234,167.0
20220102T1500,12.150246,66.07579,25.2,43.914894,181.0
20220102T1600,12.020246,64.09562,28.2,42.0,101.0
20220102T1700,11.270246,66.47852,28.800001,35.81376,14.0
20220102T1800,10.740245,67.770805,28.2,0.0,0.0
20220102T1900,10.660245,68.37353,27.300001,0.0,0.0
20220102T2000,11.000245,68.68648,28.0,0.0,0.0
20220102T2100,11.720245,66.30155,29.400002,0.0,0.0
20220102T2200,12.5602455,64.985275,27.000002,0.0,0.0
20220102T2300,12.240245,68.42762,82.0,0.0,0.0
20220103T0000,12.300245,69.680855,71.0,0.0,0.0
20220103T0100,12.290245,70.50054,86.0,0.0,0.0
20220103T0200,12.460245,70.05099,96.0,0.0,0.0
20220103T0300,12.460245,71.11963,82.0,0.0,0.0
20220103T0400,12.550245,70.89352,52.0,0.0,0.0
20220103T0500,12.370245,71.83889,53.0,0.0,0.0
20220103T0600,11.910245,73.247154,96.0,0.0,0.0
20220103T0700,11.740245,73.569016,56.0,0.0,0.0
20220103T0800,11.670245,72.899605,82.0,0.0,0.0
20220103T0900,11.670245,72.648544,100.0,0.0,7.0
20220103T1000,11.680245,72.85125,97.0,0.0,21.0
20220103T1100,11.800245,73.9864,52.0,26.80851,66.0
20220103T1200,11.920245,72.89697,99.0,0.0,110.0
20220103T1300,12.190246,72.44865,100.0,0.0,66.0
20220103T1400,12.370245,71.98713,95.0,0.0,99.0
20220103T1500,12.330245,71.929886,90.0,2.5531912,107.0
20220103T1600,12.270246,72.06669,93.0,0.6382978,56.0
20220103T1700,12.040245,72.619415,88.0,3.359574,11.0
20220103T1800,11.860246,72.58489,100.0,0.0,0.0
20220103T1900,11.510245,73.57673,100.0,0.0,0.0
20220103T2000,11.420245,73.71239,97.0,0.0,0.0
20220103T2100,11.350245,75.96923,95.0,0.0,0.0
20220103T2200,11.420245,77.24474,98.0,0.0,0.0
20220103T2300,11.150246,79.731895,99.0,0.0,0.0
20220104T0000,11.440246,77.14209,94.0,0.0,0.0
20220104T0100,11.400246,77.56019,96.0,0.0,0.0
20220104T0200,11.420245,76.558136,89.0,0.0,0.0
20220104T0300,11.950245,73.254684,98.0,0.0,0.0
20220104T0400,12.010245,75.77127,95.0,0.0,0.0
20220104T0500,12.320246,78.98929,99.0,0.0,0.0
20220104T0600,12.140245,82.468445,98.0,0.0,0.0
20220104T0700,12.130245,83.42142,97.0,0.0,0.0
20220104T0800,12.900246,77.64504,99.0,0.0,0.0
20220104T0900,13.720245,70.25891,34.0,27.70213,4.0
20220104T1000,14.150246,65.52666,28.800001,41.61702,41.0
20220104T1100,15.3102455,58.609344,66.0,17.872341,122.0
20220104T1200,15.920245,56.120777,90.0,2.5531912,121.0
20220104T1300,16.250246,53.89537,100.0,0.0,139.0
20220104T1400,15.070246,59.72979,87.0,4.468085,108.0
20220104T1500,13.380245,70.96174,72.0,14.042552,56.0
20220104T1600,13.030245,71.6236,36.0,37.02128,29.0
20220104T1700,13.270246,70.9399,81.0,7.4196796,3.0
20220104T1800,12.550245,75.29755,95.0,0.0,0.0
20220104T1900,11.420245,83.1052,99.0,0.0,0.0
20220104T2000,9.620245,89.5015,97.0,0.0,0.0
20220104T2100,8.080246,89.30239,100.0,0.0,0.0
20220104T2200,7.250245,86.82677,100.0,0.0,0.0
20220104T2300,6.290245,81.13365,92.0,0.0,0.0
20220105T0000,5.670245,84.042435,100.0,0.0,0.0
20220105T0100,5.610245,85.42093,98.0,0.0,0.0
20220105T0200,5.6002455,87.19667,98.0,0.0,0.0
20220105T0300,5.480245,88.491615,100.0,0.0,0.0
20220105T0400,5.4702454,88.49059,100.0,0.0,0.0
20220105T0500,5.3102455,87.78614,99.0,0.0,0.0
20220105T0600,4.8502455,83.45338,93.0,0.0,0.0
20220105T0700,4.2102456,82.229805,86.0,0.0,0.0
20220105T0800,3.8802452,80.47135,80.0,0.0,0.0
20220105T0900,3.4402456,79.121544,44.0,23.138298,5.0
20220105T1000,3.1302452,73.68332,47.0,30.0,56.0
20220105T1100,3.2002454,72.778625,16.0,49.787235,174.0
20220105T1200,3.2502456,67.89054,33.0,38.93617,180.0
20220105T1300,3.7002454,63.875984,51.0,27.446808,228.0
20220105T1400,4.1002455,58.177803,78.0,10.212765,221.0
20220105T1500,4.0402455,56.22099,71.0,14.680849,142.0
20220105T1600,3.7402453,58.606697,45.0,31.276594,91.0
20220105T1700,2.4002454,65.6889,37.0,33.159042,21.0
20220105T1800,1.9502454,70.53971,30.0,0.0,0.0
20220105T1900,0.9002454,78.567986,32.0,0.0,0.0
20220105T2000,0.84024537,80.274216,60.0,0.0,0.0
20220105T2100,1.2002454,80.51266,84.0,0.0,0.0
20220105T2200,1.3602455,81.2578,78.0,0.0,0.0
20220105T2300,1.2002454,86.55992,65.0,0.0,0.0
20220106T0000,1.0702454,87.69847,71.0,0.0,0.0
20220106T0100,1.5602454,86.730934,69.0,0.0,0.0
20220106T0200,1.7302454,86.87855,86.0,0.0,0.0
20220106T0300,1.8102454,86.634026,86.0,0.0,0.0
20220106T0400,2.0002456,86.3407,79.0,0.0,0.0
20220106T0500,1.9902455,87.03653,88.0,0.0,0.0
20220106T0600,1.8102454,88.94427,84.0,0.0,0.0
20220106T0700,1.8002454,90.976204,83.0,0.0,0.0
20220106T0800,1.6702454,92.83788,63.0,0.0,0.0
20220106T0900,2.1002455,89.55911,82.0,5.589361,11.0
20220106T1000,2.4702454,89.27122,79.0,9.574467,77.0
20220106T1100,3.2502456,85.93003,54.0,25.531916,135.0
20220106T1200,3.5602455,81.24367,67.0,17.234043,144.0
20220106T1300,4.170245,77.64807,58.0,22.978725,140.0
20220106T1400,4.4802456,75.917366,49.0,28.723406,121.0
20220106T1500,4.150245,79.12522,46.0,30.638298,83.0
20220106T1600,3.9402456,81.36101,48.0,29.361702,71.0
20220106T1700,2.1902454,88.20972,36.0,34.460636,22.0
20220106T1800,2.1502454,88.01276,34.0,0.0,0.0
20220106T1900,1.5802454,90.95654,19.0,0.0,0.0
20220106T2000,0.8702454,91.96498,16.0,0.0,0.0
20220106T2100,0.3102454,92.05339,15.0,0.0,0.0
20220106T2200,-0.009754598,91.89073,9.0,0.0,0.0
20220106T2300,-1.1897546,92.95853,4.0,0.0,0.0
20220107T0000,-1.4697546,92.86688,9.900001,0.0,0.0
20220107T0100,-2.0597544,92.61025,27.000002,0.0,0.0
20220107T0200,-1.6297547,91.543396,29.400002,0.0,0.0
20220107T0300,-0.88975465,90.93057,30.000002,0.0,0.0
20220107T0400,-0.9597546,91.740204,73.0,0.0,0.0
20220107T0500,-1.0497546,91.80061,84.0,0.0,0.0
20220107T0600,-0.89975464,91.13299,70.0,0.0,0.0
20220107T0700,-0.62975454,90.21425,68.0,0.0,0.0
20220107T0800,-0.4597546,88.43775,58.0,0.0,0.0
20220107T0900,0.080245405,85.59016,44.0,23.466312,13.0
20220107T1000,0.84024537,85.05783,42.0,33.19149,88.0
20220107T1100,1.8302454,83.45493,85.0,5.7446804,119.0
20220107T1200,2.0102453,83.48057,78.0,10.212765,112.0
20220107T1300,2.0202456,86.91298,86.0,5.1063824,122.0
20220107T1400,1.6602454,93.17524,87.0,4.468085,112.0
20220107T1500,1.6002454,97.1048,88.0,3.8297868,87.0
20220107T1600,1.7702454,96.761566,98.0,0.0,38.0
20220107T1700,1.9602454,95.72713,94.0,0.0,10.0
20220107T1800,1.7802454,97.675285,82.0,0.0,0.0
20220107T1900,1.9202454,98.17486,82.0,0.0,0.0
20220107T2000,2.1502454,95.39217,92.0,0.0,0.0
20220107T2100,2.5302453,93.84504,94.0,0.0,0.0
20220107T2200,2.8202453,93.52713,97.0,0.0,0.0
20220107T2300,2.9202452,90.028984,97.0,0.0,0.0
20220108T0000,3.2702456,86.933105,47.0,0.0,0.0
20220108T0100,3.4502454,84.842476,98.0,0.0,0.0
20220108T0200,3.3702455,87.76469,91.0,0.0,0.0
20220108T0300,3.2002454,92.75064,71.0,0.0,0.0
20220108T0400,3.3402452,93.3614,54.0,0.0,0.0
20220108T0500,3.6002455,94.31821,85.0,0.0,0.0
20220108T0600,3.5702453,91.78622,85.0,0.0,0.0
20220108T0700,3.2402453,90.05904,69.0,0.0,0.0
20220108T0800,2.7102456,88.58649,51.0,0.0,0.0
20220108T0900,2.6002455,87.42484,39.0,25.998226,10.0
20220108T1000,2.6702452,87.05258,68.0,16.595745,69.0
20220108T1100,3.0902452,80.46265,85.0,5.7446804,147.0
20220108T1200,3.7402453,76.55896,87.0,4.468085,198.0
20220108T1300,4.4702454,71.139595,98.0,0.0,196.0
20220108T1400,4.8402452,69.57048,14.1,51.0,202.0
20220108T1500,5.0502453,69.00832,64.0,19.148937,148.0
20220108T1600,5.0702453,68.00919,95.0,0.0,86.0
20220108T1700,4.9902453,68.79307,98.0,0.0,17.0
20220108T1800,5.4102454,69.543655,98.0,0.0,0.0
20220108T1900,5.2402453,74.91126,99.0,0.0,0.0
20220108T2000,5.440245,79.33797,100.0,0.0,0.0
20220108T2100,5.5902452,81.31815,95.0,0.0,0.0
20220108T2200,5.630245,85.12032,96.0,0.0,0.0
20220108T2300,5.880245,84.66931,97.0,0.0,0.0
20220109T0000,5.5802455,88.627106,99.0,0.0,0.0
20220109T0100,5.750245,90.66939,99.0,0.0,0.0
20220109T0200,6.2202454,89.69488,100.0,0.0,0.0
20220109T0300,5.710245,90.858,100.0,0.0,0.0
20220109T0400,5.2002454,89.346664,100.0,0.0,0.0
20220109T0500,4.6002455,89.16169,98.0,0.0,0.0
20220109T0600,4.1602454,87.28555,97.0,0.0,0.0
20220109T0700,4.1902456,84.75498,97.0,0.0,0.0
20220109T0800,4.2702456,84.27884,84.0,0.0,0.0
20220109T0900,4.0502453,85.28793,71.0,10.949467,8.0
20220109T1000,4.2702456,85.43835,46.0,30.638298,41.0
20220109T1100,4.420245,83.33408,71.0,14.680849,98.0
20220109T1200,4.4802456,83.28247,94.0,0.0,122.0
20220109T1300,4.5902452,83.95871,87.0,4.468085,175.0
20220109T1400,4.650245,84.26861,79.0,9.574467,192.0
20220109T1500,4.5902452,83.477554,64.0,19.148937,146.0
20220109T1600,4.0702453,87.46362,67.0,17.234043,96.0
20220109T1700,3.7902455,89.981,99.0,0.0,18.0
20220109T1800,3.2002454,92.883934,98.0,0.0,0.0
20220109T1900,2.7602453,93.99543,94.0,0.0,0.0
20220109T2000,2.4902453,94.72601,84.0,0.0,0.0
20220109T2100,2.2102454,95.74022,65.0,0.0,0.0
20220109T2200,1.9402454,95.93388,67.0,0.0,0.0
20220109T2300,1.6502454,99.73735,67.0,0.0,0.0
20220110T0000,1.8102454,99.52536,35.0,0.0,0.0
20220110T0100,1.7802454,98.17019,41.0,0.0,0.0
20220110T0200,1.9202454,95.86355,69.0,0.0,0.0
20220110T0300,2.1002455,95.527306,83.0,0.0,0.0
20220110T0400,1.5902454,96.89371,92.0,0.0,0.0
20220110T0500,1.4902453,96.88931,89.0,0.0,0.0
20220110T0600,1.5902454,96.61344,94.0,0.0,0.0
20220110T0700,1.8602453,96.97553,87.0,0.0,0.0
20220110T0800,1.7602454,97.463066,82.0,0.0,0.0
20220110T0900,1.7302454,97.32111,90.0,1.917021,9.0
